Conditionnement;Trafic;Sens;Port;Opérateur;Unité;Sous_Catégorie;Mois;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;;;;;341;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;;;;;313;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;septembre;;;;;;;316;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;octobre;;;;;;;577;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;novembre;;;;;;;337;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;décembre;;;;;;;541;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;;;;;;484;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;;;;;373;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;;;;;362;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;;;;;423;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;;;;;380;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;;;;;664;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;;;;;;631;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;;;;;;501;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;septembre;;;;;;;;466;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;octobre;;;;;;;;494;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;novembre;;;;;;;;388;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;décembre;;;;;;;;637;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;;;;;;;592;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;;;;;;445;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;;;;;;674;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;;;;;;707;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;;;;;;527;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;;;;;;418;;;;;;;;
